fpr,tpr,model
0.07741935483870968,0.792156862745098,CNN-2D
0.07956989247311828,0.792156862745098,CNN-2D
0.07956989247311828,0.796078431372549,CNN-2D
0.08387096774193549,0.796078431372549,CNN-2D
0.08387096774193549,0.803921568627451,CNN-2D
0.09032258064516129,0.803921568627451,CNN-2D
0.09032258064516129,0.807843137254902,CNN-2D
0.09247311827956989,0.807843137254902,CNN-2D
0.09247311827956989,0.8117647058823529,CNN-2D
0.0989247311827957,0.8117647058823529,CNN-2D
0.0989247311827957,0.8313725490196079,CNN-2D
0.10967741935483871,0.8313725490196079,CNN-2D
0.10967741935483871,0.8392156862745098,CNN-2D
0.11397849462365592,0.8392156862745098,CNN-2D
0.11397849462365592,0.8470588235294118,CNN-2D
0.11612903225806452,0.8470588235294118,CNN-2D
0.11612903225806452,0.8509803921568627,CNN-2D
0.11827956989247312,0.8509803921568627,CNN-2D
0.11827956989247312,0.8627450980392157,CNN-2D
0.12043010752688173,0.8627450980392157,CNN-2D
0.12043010752688173,0.8666666666666667,CNN-2D
0.12473118279569892,0.8666666666666667,CNN-2D
0.12473118279569892,0.8705882352941177,CNN-2D
0.13118279569892474,0.8705882352941177,CNN-2D
0.13118279569892474,0.8745098039215686,CNN-2D
0.13763440860215054,0.8745098039215686,CNN-2D
0.13763440860215054,0.8862745098039215,CNN-2D
0.14193548387096774,0.8862745098039215,CNN-2D
0.14193548387096774,0.8941176470588236,CNN-2D
0.16344086021505377,0.8941176470588236,CNN-2D
0.16344086021505377,0.8980392156862745,CNN-2D
0.2021505376344086,0.8980392156862745,CNN-2D
0.2021505376344086,0.9058823529411765,CNN-2D
0.22365591397849463,0.9058823529411765,CNN-2D
0.22365591397849463,0.9098039215686274,CNN-2D
0.23225806451612904,0.9098039215686274,CNN-2D
0.23225806451612904,0.9137254901960784,CNN-2D
0.23440860215053763,0.9137254901960784,CNN-2D
0.23440860215053763,0.9176470588235294,CNN-2D
0.26021505376344084,0.9176470588235294,CNN-2D
0.26021505376344084,0.9215686274509803,CNN-2D
0.26881720430107525,0.9215686274509803,CNN-2D
0.26881720430107525,0.9254901960784314,CNN-2D
0.2752688172043011,0.9254901960784314,CNN-2D
0.2752688172043011,0.9294117647058824,CNN-2D
0.28817204301075267,0.9294117647058824,CNN-2D
0.28817204301075267,0.9333333333333333,CNN-2D
0.3204301075268817,0.9333333333333333,CNN-2D
0.3204301075268817,0.9372549019607843,CNN-2D
0.36129032258064514,0.9372549019607843,CNN-2D
0.36129032258064514,0.9411764705882353,CNN-2D
0.3913978494623656,0.9411764705882353,CNN-2D
0.3913978494623656,0.9450980392156862,CNN-2D
0.4,0.9450980392156862,CNN-2D
0.4,0.9490196078431372,CNN-2D
0.410752688172043,0.9490196078431372,CNN-2D
0.410752688172043,0.9529411764705882,CNN-2D
0.44086021505376344,0.9529411764705882,CNN-2D
0.44086021505376344,0.9568627450980393,CNN-2D
0.4559139784946237,0.9568627450980393,CNN-2D
0.4559139784946237,0.9647058823529412,CNN-2D
0.4752688172043011,0.9647058823529412,CNN-2D
0.4752688172043011,0.9686274509803922,CNN-2D
0.4860215053763441,0.9686274509803922,CNN-2D
0.4860215053763441,0.9725490196078431,CNN-2D
0.5526881720430108,0.9725490196078431,CNN-2D
0.5526881720430108,0.9764705882352941,CNN-2D
0.567741935483871,0.9764705882352941,CNN-2D
0.567741935483871,0.9803921568627451,CNN-2D
0.6043010752688172,0.9803921568627451,CNN-2D
0.6043010752688172,0.984313725490196,CNN-2D
0.6688172043010753,0.984313725490196,CNN-2D
0.6688172043010753,0.9882352941176471,CNN-2D
0.8279569892473119,0.9882352941176471,CNN-2D
0.8279569892473119,0.9921568627450981,CNN-2D
0.9053763440860215,0.9921568627450981,CNN-2D
0.9053763440860215,0.996078431372549,CNN-2D
0.9548387096774194,0.996078431372549,CNN-2D
0.9548387096774194,1.0,CNN-2D
1.0,1.0,CNN-2D
0.0,0.0,CNN-3D
0.002150537634408602,0.0,CNN-3D
0.002150537634408602,0.023529411764705882,CNN-3D
0.004301075268817204,0.023529411764705882,CNN-3D
0.004301075268817204,0.03529411764705882,CNN-3D
0.0064516129032258064,0.03529411764705882,CNN-3D
0.0064516129032258064,0.09411764705882353,CNN-3D
0.008602150537634409,0.09411764705882353,CNN-3D
0.008602150537634409,0.11372549019607843,CNN-3D
0.010752688172043012,0.11372549019607843,CNN-3D
0.010752688172043012,0.1607843137254902,CNN-3D
0.012903225806451613,0.1607843137254902,CNN-3D
0.012903225806451613,0.16862745098039217,CNN-3D
0.015053763440860216,0.16862745098039217,CNN-3D
0.015053763440860216,0.25882352941176473,CNN-3D
0.017204301075268817,0.25882352941176473,CNN-3D
0.017204301075268817,0.2784313725490196,CNN-3D
0.01935483870967742,0.2784313725490196,CNN-3D
0.01935483870967742,0.396078431372549,CNN-3D
0.021505376344086023,0.396078431372549,CNN-3D
0.021505376344086023,0.40784313725490196,CNN-3D
0.023655913978494623,0.40784313725490196,CNN-3D
0.023655913978494623,0.45098039215686275,CNN-3D
0.025806451612903226,0.45098039215686275,CNN-3D
0.025806451612903226,0.4549019607843137,CNN-3D
0.02795698924731183,0.4549019607843137,CNN-3D
0.02795698924731183,0.4627450980392157,CNN-3D
0.030107526881720432,0.4627450980392157,CNN-3D
0.030107526881720432,0.47058823529411764,CNN-3D
0.034408602150537634,0.47058823529411764,CNN-3D
0.034408602150537634,0.49019607843137253,CNN-3D
0.03655913978494624,0.49019607843137253,CNN-3D
0.03655913978494624,0.5098039215686274,CNN-3D
0.03870967741935484,0.5098039215686274,CNN-3D
0.03870967741935484,0.5137254901960784,CNN-3D
0.04516129032258064,0.5137254901960784,CNN-3D
0.04516129032258064,0.5254901960784314,CNN-3D
0.047311827956989246,0.5254901960784314,CNN-3D
0.047311827956989246,0.5450980392156862,CNN-3D
0.04946236559139785,0.5450980392156862,CNN-3D
0.04946236559139785,0.5568627450980392,CNN-3D
0.053763440860215055,0.5568627450980392,CNN-3D
0.053763440860215055,0.5607843137254902,CNN-3D
0.05806451612903226,0.5607843137254902,CNN-3D
0.05806451612903226,0.5647058823529412,CNN-3D
0.06666666666666667,0.5647058823529412,CNN-3D
0.06666666666666667,0.5686274509803921,CNN-3D
0.06881720430107527,0.5686274509803921,CNN-3D
0.06881720430107527,0.5843137254901961,CNN-3D
0.07096774193548387,0.5843137254901961,CNN-3D
0.07096774193548387,0.611764705882353,CNN-3D
0.07311827956989247,0.611764705882353,CNN-3D
0.07311827956989247,0.615686274509804,CNN-3D
0.07526881720430108,0.615686274509804,CNN-3D
