precision,recall,model
0.42495784148397975,0.9882352941176471,CNN-2D
0.42567567567567566,0.9882352941176471,CNN-2D
0.4263959390862944,0.9882352941176471,CNN-2D
0.4271186440677966,0.9882352941176471,CNN-2D
0.42784380305602715,0.9882352941176471,CNN-2D
0.42857142857142855,0.9882352941176471,CNN-2D
0.4293015332197615,0.9882352941176471,CNN-2D
0.4300341296928328,0.9882352941176471,CNN-2D
0.4307692307692308,0.9882352941176471,CNN-2D
0.4315068493150685,0.9882352941176471,CNN-2D
0.4322469982847341,0.9882352941176471,CNN-2D
0.4329896907216495,0.9882352941176471,CNN-2D
0.43373493975903615,0.9882352941176471,CNN-2D
0.43448275862068964,0.9882352941176471,CNN-2D
0.43523316062176165,0.9882352941176471,CNN-2D
0.4359861591695502,0.9882352941176471,CNN-2D
0.43674176776429807,0.9882352941176471,CNN-2D
0.4375,0.9882352941176471,CNN-2D
0.43826086956521737,0.9882352941176471,CNN-2D
0.43902439024390244,0.9882352941176471,CNN-2D
0.4397905759162304,0.9882352941176471,CNN-2D
0.4405594405594406,0.9882352941176471,CNN-2D
0.4413309982486865,0.9882352941176471,CNN-2D
0.4421052631578947,0.9882352941176471,CNN-2D
0.4428822495606327,0.9882352941176471,CNN-2D
0.44366197183098594,0.9882352941176471,CNN-2D
0.4444444444444444,0.9882352941176471,CNN-2D
0.4452296819787986,0.9882352941176471,CNN-2D
0.44601769911504424,0.9882352941176471,CNN-2D
0.44680851063829785,0.9882352941176471,CNN-2D
0.44760213143872113,0.9882352941176471,CNN-2D
0.44661921708185054,0.984313725490196,CNN-2D
0.4474153297682709,0.984313725490196,CNN-2D
0.44821428571428573,0.984313725490196,CNN-2D
0.4490161001788909,0.984313725490196,CNN-2D
0.449820788530466,0.984313725490196,CNN-2D
0.4506283662477558,0.984313725490196,CNN-2D
0.45143884892086333,0.984313725490196,CNN-2D
0.45225225225225224,0.984313725490196,CNN-2D
0.45306859205776173,0.984313725490196,CNN-2D
0.4538878842676311,0.984313725490196,CNN-2D
0.45471014492753625,0.984313725490196,CNN-2D
0.455535390199637,0.984313725490196,CNN-2D
0.45636363636363636,0.984313725490196,CNN-2D
0.45719489981785066,0.984313725490196,CNN-2D
0.458029197080292,0.984313725490196,CNN-2D
0.45886654478976235,0.984313725490196,CNN-2D
0.4597069597069597,0.984313725490196,CNN-2D
0.46055045871559636,0.984313725490196,CNN-2D
0.46139705882352944,0.984313725490196,CNN-2D
0.4622467771639042,0.984313725490196,CNN-2D
0.46309963099630996,0.984313725490196,CNN-2D
0.46395563770794823,0.984313725490196,CNN-2D
0.4648148148148148,0.984313725490196,CNN-2D
0.46567717996289426,0.984313725490196,CNN-2D
0.46654275092936803,0.984313725490196,CNN-2D
0.46741154562383613,0.984313725490196,CNN-2D
0.46828358208955223,0.984313725490196,CNN-2D
0.4691588785046729,0.984313725490196,CNN-2D
0.4700374531835206,0.984313725490196,CNN-2D
0.4709193245778612,0.984313725490196,CNN-2D
0.4718045112781955,0.984313725490196,CNN-2D
0.4708097928436911,0.9803921568627451,CNN-2D
0.4716981132075472,0.9803921568627451,CNN-2D
0.4725897920604915,0.9803921568627451,CNN-2D
0.4734848484848485,0.9803921568627451,CNN-2D
0.47438330170777987,0.9803921568627451,CNN-2D
0.4752851711026616,0.9803921568627451,CNN-2D
0.47619047619047616,0.9803921568627451,CNN-2D
0.4770992366412214,0.9803921568627451,CNN-2D
0.4780114722753346,0.9803921568627451,CNN-2D
0.4789272030651341,0.9803921568627451,CNN-2D
0.4798464491362764,0.9803921568627451,CNN-2D
0.4807692307692308,0.9803921568627451,CNN-2D
0.4816955684007707,0.9803921568627451,CNN-2D
0.4826254826254826,0.9803921568627451,CNN-2D
